id,prediction,target,bleu-1,bleu-4,url
1972,A older man is playing a video game .,An older man is playing a video game .,0.8633400214,0.8333333333,data/datasets/mscoco/val2014/COCO_val2014_000000252135.jpg
372,A dog dog is running in the grass .,A black dog is running in the grass .,0.7506238538,0.6666666667,data/datasets/Flickr8k/Flickr8k_Dataset/2501742763_b2cb322087.jpg
2809,A bathroom with a toilet and a toilet and,A bathroom with a toilet and a bathtub .,0.7259795291,0.6666666667,data/datasets/mscoco/val2014/COCO_val2014_000000033909.jpg
2821,A large airplane is flying in the sky .,A small airplane is flying in the sky .,0.7506238538,0.6666666667,data/datasets/mscoco/val2014/COCO_val2014_000000052017.jpg
456,A man is on a surfboard in the ocean .,A person standing on a surfboard in the ocean .,0.6606328636,0.5714285714,data/datasets/mscoco/val2014/COCO_val2014_000000265550.jpg
81,A bathroom with a toilet and a toilet sink . .,A bathroom with a toilet and a striped shower curtain .,0.5900468726,0.5,data/datasets/mscoco/val2014/COCO_val2014_000000126671.jpg
987,A bathroom bathroom with a toilet and a toilet,a small bathroom with a toilet and a sink,0.5873949095,0.5,data/datasets/mscoco/val2014/COCO_val2014_000000523426.jpg
295,A older man is sitting on a bench with,An elderly man is sitting on a bench .,0.5873949095,0.5,data/datasets/Flickr8k/Flickr8k_Dataset/446286714_dcec7f339e.jpg
783,A bathroom is in to a toilet in a bathroom .,A girl standing next to a toilet in a bathroom .,0.5900468726,0.5,data/datasets/mscoco/val2014/COCO_val2014_000000573223.jpg
2333,A bathroom with a toilet and a toilet sink,a bathroom with a toilet and a bath tub,0.5873949095,0.5,data/datasets/mscoco/val2014/COCO_val2014_000000311887.jpg
106,A man up of a horse in a field . a field,a close up of a horse in a field near a fence,0.5331675363,0.4444444444,data/datasets/mscoco/val2014/COCO_val2014_000000382172.jpg
523,A man up of a tennis player holding a tennis . a,a close up of a tennis player holding a racket and ball,0.5331675363,0.4444444444,data/datasets/mscoco/val2014/COCO_val2014_000000507826.jpg
1450,A bathroom and with on to a toilet in a bathroom .,A white tub sitting next to a toilet in a bathroom .,0.5331675363,0.4444444444,data/datasets/mscoco/val2014/COCO_val2014_000000050350.jpg
3991,A bathroom with a toilet and a toilet . it floor .,A bathroom with a toilet and a scale on the floor .,0.5706745777,0.4444444444,data/datasets/mscoco/val2014/COCO_val2014_000000354662.jpg
43,A clock clock with with a clock on it .,A tall tower structure with a clock on it .,0.5372849659,0.4285714286,data/datasets/mscoco/val2014/COCO_val2014_000000133051.jpg
13,A bus bus white bus driving down a street .,A white and green bus driving down a street .,0.5555238068,0.4285714286,data/datasets/mscoco/val2014/COCO_val2014_000000436738.jpg
5016,A man in a to hit a tennis ball .,A woman getting ready to hit a tennis ball .,0.5372849659,0.4285714286,data/datasets/mscoco/val2014/COCO_val2014_000000512139.jpg
645,A man is riding a trick on a skateboard .,A child is doing a trick on a skateboard .,0.5555238068,0.4285714286,data/datasets/mscoco/val2014/COCO_val2014_000000451084.jpg
533,A man boy is a to hit a tennis ball .,A little girl getting ready to hit a tennis ball .,0.4798782067,0.375,data/datasets/mscoco/val2014/COCO_val2014_000000251580.jpg
1513,A plate of pizza with is sitting on a plate .,A piece of cake that is sitting on a plate .,0.4961683,0.375,data/datasets/mscoco/val2014/COCO_val2014_000000309279.jpg
3841,A cat sitting on a desk on to a laptop .,A cat sitting on a blanket next to a laptop .,0.5877283725,0.375,data/datasets/mscoco/val2014/COCO_val2014_000000574184.jpg
4162,A large is is sitting the side of a building .,The sign that is on the side of a building .,0.4798782067,0.375,data/datasets/mscoco/val2014/COCO_val2014_000000092604.jpg
1741,A man is on a tennis court with a tennis .,A person standing on a tennis court with a racket .,0.4961683,0.375,data/datasets/mscoco/val2014/COCO_val2014_000000397279.jpg
529,A man in a red shirt is a pants is on a bench .,A man in a red shirt and black pants resting on a bench .,0.5445178846,0.3636363636,data/datasets/mscoco/val2014/COCO_val2014_000000360434.jpg
4,A man is a on a of a snow covered slope .,A man riding skis on top of a snow covered slope .,0.4832697831,0.3333333333,data/datasets/mscoco/val2014/COCO_val2014_000000103747.jpg
175,A man is a on a of a snow covered slope .,A man riding skis on top of a snow covered slope .,0.4832697831,0.3333333333,data/datasets/mscoco/val2014/COCO_val2014_000000088433.jpg
577,A people are standing on a snowy hill .,Three snowboarders are standing on a snowy hillside .,0.4671379777,0.3333333333,data/datasets/mscoco/val2014/COCO_val2014_000000391285.jpg
2167,A man in a to hit a tennis ball,a woman getting ready to hit a tennis ball,0.4671379777,0.3333333333,data/datasets/mscoco/val2014/COCO_val2014_000000024601.jpg
3151,A kitchen kitchen with a sink and a cabinets,a small kitchen with a sink and mini fridge,0.4671379777,0.3333333333,data/datasets/mscoco/val2014/COCO_val2014_000000462527.jpg
487,A baseball player is swinging a a baseball game,A baseball player is swinging at a baseball .,0.513345048,0.3333333333,data/datasets/mscoco/val2014/COCO_val2014_000000384531.jpg
