id,prediction,target,bleu-1,bleu-4,url
1,"A man with is sitting on a window .","A mirror that is hanging above a sink .",0.816496580928,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000241602.jpg
1,"A and white photograph of a on on horse .","Black and white photograph of man riding a skateboard .",0.290715368484,0.142857142857,data/datasets/mscoco/val2014/COCO_val2014_000000172716.jpg
1,"A man is down a intersection fashioned with by a","a bus going past an old building surrounded by plants",0.668740304976,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000491965.jpg
1,"A man men are been toppings placed out a . .","The two donuts have both been fried in unhealthy fat .",0.652994205726,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000173533.jpg
1,"A is white airplane a in . seen .","This small Chinese take out restaurant is closed .",0.686589047969,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000297944.jpg
1,"A man in a frisbee with in a of a head .","A man placing a beach umbrella on top of his roof .",0.441162935932,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000511136.jpg
1,"A man and with a on on a knife .","A toasted sandwich with sliced fruit and a fork .",0.840896415254,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000304984.jpg
1,"A man group dog is on the runway runway .","A large white plane sits on a run way .",0.740082804492,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000325022.jpg
1,"A man bathroom with with a and a .","A deep sink , washing machine and microwave oven",0.686589047969,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000188544.jpg
1,"A man in a tennis bat and a","a boy with a baseball glove and ball",0.782542290037,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000407298.jpg
1,"A man man is a blue shirt and standing a","a young man in a red shirt is playing tennis",0.840896415254,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000390902.jpg
1,"A man with on top table table with a of a white . .","A pen laying on a wooden table in front of a computer keyboard .",0.442850014269,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000481425.jpg
1,"A cat with with a and a fork salad of coffee fruit shears .","A table topped with donuts and a small box of even more donuts .",0.426108272392,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000003001.jpg
1,"A man with with on a white with a table .","A pizza pie sits in a dish on a table .",0.367205626989,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000236412.jpg
1,"A man with sitting a table of a table","a television is at the end of a bed",0.451801001805,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000391978.jpg
1,"A are on a in a park street . a building .","People sit on benches in a flooded plain beside a marina .",0.441162935932,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000474862.jpg
1,"A are a beach with a . . a sky .","People on the beach enjoying water sports in the ocean .",0.652994205726,0.0,data/datasets/mscoco/val2014/COCO_val2014_000000164555.jpg
